json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134903_0010_T.JPG.json,-92.7,267.3,-92.3,267.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134904_0011_T.JPG.json,-90.2,269.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134909_0015_T.JPG.json,9.9,9.9,-177.0,183.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134913_0018_T.JPG.json,89.3,89.3,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134914_0019_T.JPG.json,89.3,89.3,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134915_0020_T.JPG.json,-90.8,269.2,90.8,90.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134920_0024_T.JPG.json,-91.3,268.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134921_0025_T.JPG.json,-91.0,269.0,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134922_0026_T.JPG.json,-90.9,269.1,-90.2,269.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134924_0027_T.JPG.json,85.2,85.2,-98.5,261.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134925_0028_T.JPG.json,172.7,172.7,167.2,167.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134926_0029_T.JPG.json,95.3,95.3,93.7,93.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134927_0030_T.JPG.json,89.8,89.8,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134929_0031_T.JPG.json,89.6,89.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134930_0032_T.JPG.json,89.5,89.5,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134940_0040_T.JPG.json,-89.8,270.2,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134945_0044_T.JPG.json,-89.4,270.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134946_0045_T.JPG.json,-89.3,270.7,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134947_0046_T.JPG.json,91.0,91.0,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134948_0047_T.JPG.json,-126.4,233.6,-134.7,225.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134950_0048_T.JPG.json,131.6,131.6,133.4,133.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134951_0049_T.JPG.json,-95.7,264.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134952_0050_T.JPG.json,82.8,82.8,90.2,90.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134953_0051_T.JPG.json,82.7,82.7,90.3,90.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310134957_0054_T.JPG.json,82.8,82.8,90.4,90.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135001_0057_T.JPG.json,-95.5,264.5,92.4,92.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135002_0058_T.JPG.json,85.4,85.4,93.4,93.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135003_0059_T.JPG.json,-94.2,265.8,93.6,93.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135009_0064_T.JPG.json,-82.0,278.0,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135013_0067_T.JPG.json,-81.7,278.3,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135018_0071_T.JPG.json,98.3,98.3,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135019_0072_T.JPG.json,98.3,98.3,-90.2,269.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135020_0073_T.JPG.json,98.0,98.0,-93.9,266.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135022_0074_T.JPG.json,-8.2,351.8,174.4,174.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135023_0075_T.JPG.json,88.4,88.4,94.8,94.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135024_0076_T.JPG.json,81.3,81.3,90.2,90.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135028_0079_T.JPG.json,80.9,80.9,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135029_0080_T.JPG.json,-99.2,260.8,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135041_0090_T.JPG.json,-124.8,235.2,-123.7,236.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135043_0091_T.JPG.json,-87.1,272.9,-90.5,269.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135045_0093_T.JPG.json,-86.1,273.9,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135049_0096_T.JPG.json,94.0,94.0,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135051_0098_T.JPG.json,94.1,94.1,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135056_0102_T.JPG.json,94.1,94.1,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135057_0103_T.JPG.json,94.2,94.2,-90.4,269.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135059_0104_T.JPG.json,-109.6,250.4,-121.3,238.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135100_0105_T.JPG.json,141.9,141.9,146.6,146.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135101_0106_T.JPG.json,80.5,80.5,91.9,91.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135102_0107_T.JPG.json,77.8,77.8,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135104_0108_T.JPG.json,77.6,77.6,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135106_0110_T.JPG.json,77.4,77.4,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135109_0112_T.JPG.json,77.6,77.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135123_0124_T.JPG.json,-87.4,272.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135125_0125_T.JPG.json,-87.4,272.6,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135128_0128_T.JPG.json,-87.3,272.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135130_0129_T.JPG.json,92.7,92.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135133_0132_T.JPG.json,92.7,92.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135134_0133_T.JPG.json,92.8,92.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135136_0134_T.JPG.json,92.8,92.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135137_0135_T.JPG.json,-86.9,273.1,-91.7,268.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135138_0136_T.JPG.json,177.8,177.8,174.0,174.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135139_0137_T.JPG.json,94.0,94.0,95.1,95.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135142_0139_T.JPG.json,86.7,86.7,89.9,89.9,
